"BOC","OC","BOCDescription"
"1025","10","PHARMACY TECHNICIANS AND AIDES"
"1026","10","DENTAL ASSISTANTS, HYGIENISTS, AIDES, DENTAL LAB AIDES AND TECHNICIANS"
"1027","10","PSYCHOLOGY AIDES AND TECHNICIANS"
"1028","10","AUDIOLOGIST AND SPEECH PATHOLOGIST"
"1029","10","NUCLEAR MEDICINE TECHNOLOGIST"
"1030","10","NUCLEAR MEDICINE TECHNICIANS AND AIDES"
"1031","10","OTHER HEALTH TECHNICIANS AND AIDES NOT PREVIOUSLY IDENTIFIED"
"1032","10","RECREATION SPECIALISTS, AIDES AND TECHNICIANS"
"1033","10","MEDICAL/LABORATORY TECHNOLOGIST"
"1034","10","MEDICAL/LABORATORY AND PATHOLOGY TECHNICIANS"
"1035","10","LABORATORY AIDES AND WORKERS"
"1036","10","FEE BASIS – OTHER THAN PHYSICIANS AND NURSING"
"1037","10","MEDICAL MACHINE TECHNICIANS"
"1038","10","ORTHOPEDISTS AND PROSTHETICS"
"1039","10","CHEMISTS, PHYSICISTS, MICROBIOLOGISTS AND OTHER PHYSICAL AND HEALTH SCIENCE PROFESSIONALS"
"1041","10","PHYSICIANS GERIATRICS NEURO PSYCH FELLOWS PROGRAM"
"1042","10","SPINAL CORD INJURY FELLOWS"
"1043","10","VA FELLOWS AS RWJ CLINICAL SCHOLARS AND HEALTH SERVICE RESEARCH"
"1044","10","SUBSTANCE ABUSE FELLOWS AND CLINICAL PHARMACOLOGY FELLOWS"
"1045","10","DENTAL GERIATRIC FELLOWS PROGRAM AND DENTAL RESEARCH"
